identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
* b Sco;15 50 58.7444628720 -25 45 04.658676984;4.552;4.635;nan
* 4 Sco;15 55 30.0735638472 -26 15 57.537358092;5.753;5.625;nan
V* V913 Sco;15 58 34.8665694960 -24 49 53.361727284;5.34;5.43;nan
* pi. Sco;15 58 51.1132378 -26 06 50.788602;2.71;2.91;3
HD 143787;16 03 20.6231448768 -25 51 54.873258444;6.202;4.966;nan
HD 144690;16 08 07.5867113208 -26 19 36.051285792;7.03;5.38;nan
* c02 Sco;16 12 18.2046168820 -27 55 34.953285603;4.413;4.568;nan
* alf Sco B;16 29 24.20 -26 25 51.0;5;5.2;nan
* alf Sco;16 29 24.45970 -26 25 55.2094;2.75;0.91;-0.64
* tau Sco;16 35 52.9528530 -28 12 57.661515;2.56;2.81;2.93
HD 150894;16 45 00.1899218544 -28 30 34.765672968;6.073;5.982;nan
* 43 Oph;17 23 21.5908786608 -28 08 34.200756204;6.844;5.288;nan
* d Oph;17 27 21.2757105 -29 52 01.326251;4.672;4.269;nan
HD 157955;17 27 37.5530838144 -29 43 28.440759612;5.983;5.974;nan
HD 163755;17 59 05.281 -30 15 10.88;6.93;5.17;nan
CD-30 15035;17 59 05.28176 -30 15 10.8789;7.45;5.36;5.97
HD 165634;18 08 04.9798155 -28 27 25.531664;5.51;4.56;3.85
* gam01 Sgr;18 05 01.2264355704 -29 34 48.322222356;5.47;4.69;nan
* gam02 Sgr;18 05 48.4880988 -30 25 26.723458;4;2.99;2.26
HD 166023;18 10 05.8137077256 -30 43 43.200328980;6.74;5.65;nan
* del Sgr;18 20 59.6435424 -29 49 41.165919;4.069;2.668;nan
* 18 Sgr;18 25 01.4272703880 -30 45 23.616748152;6.696;5.574;nan
HD 169830;18 27 49.4849984976 -29 49 00.700831380;6.406;5.902;7.01
* tau Sgr;19 06 56.4031131168 -27 40 13.496293992;4.51;3.31;2.44
* zet Sgr;19 02 36.73024 -29 52 48.2279;2.69;2.59;nan
HD 183275;19 29 52.1859279672 -26 59 08.179477620;6.62;5.49;nan
* ome Sgr;19 55 50.3625499909 -26 17 57.693299065;5.45;4.7;nan
* 60 Sgr;19 58 57.2021818392 -26 11 44.744911476;5.735;4.846;nan
* b Sgr;19 56 56.8316470 -27 10 11.640936;5.98;4.528;nan
* iot Lib;15 12 13.2902543 -19 47 30.159216;4.46;4.54;4.58
HD 139254;15 37 48.0415231272 -23 08 30.145550532;6.854;5.79;nan
HD 142184;15 53 55.8637866220 -23 58 41.143370530;5.352;5.402;nan
HD 144334;16 06 06.3891324384 -23 36 22.849641396;5.84;5.92;nan
* del Sco;16 00 20.00528 -22 37 18.1431;2.2;2.32;2.36
HD 144844;16 08 43.7202865416 -23 41 07.483461252;5.9;5.88;nan
* omi Sco;16 20 38.1806792 -24 10 09.549111;5.4;4.57;3.69
* sig Sco;16 21 11.3157134 -25 35 34.051476;3.02;2.89;1.69
* rho Oph;16 25 35.11766 -23 26 49.8150;4.85;4.63;4.27
* i Sco;16 30 12.4751393 -25 06 54.804270;4.72;4.79;4.85
HD 153336;16 59 57.7070386128 -25 05 31.918254072;7.48;5.86;nan
* 26 Oph;17 00 09.5293323528 -24 59 20.901756372;6.117;5.731;nan
M 19;17 02 37.69 -26 16 04.6;8.45;5.57;nan
* 36 Oph A;17 15 20.7836485323 -26 36 06.117207947;5.93;5.08;nan
* 36 Oph B;17 15 20.9838262152 -26 36 10.173444860;5.88;5.03;nan
V* X Sgr;17 47 33.6239490288 -27 49 50.835778896;5.34;4.54;6.03
HD 163318;17 56 41.8399656864 -28 03 55.421194068;5.964;5.763;nan
[SC96] GC 265;17 56 42.0 -28 03 00;nan;5.75;nan
[SC96] Mis 803;17 56 42.0 -28 03 00;nan;5.75;nan
HD 167818;18 18 03.1913601 -27 02 33.514873;6.265;4.627;nan
* lam Sgr;18 27 58.2407185 -25 25 18.114589;3.85;2.81;2.06
HD 173117;18 44 49.6043628888 -25 00 39.273572196;5.836;5.811;nan
* phi Sgr;18 45 39.3861043 -26 59 26.794441;3.05;3.14;nan
* sig Sgr;18 55 15.92650 -26 17 48.2068;1.923;2.067;nan
HD 176704;19 02 27.6750403056 -24 50 48.571522440;6.849;5.628;nan
* psi Sgr;19 15 32.4265759 -25 15 24.056854;5.41;4.86;nan
HD 179323;19 13 13.6679334096 -25 54 24.432840108;7.143;5.765;nan
* chi01 Sgr;19 25 16.4901283 -24 30 30.859921;5.238;5.009;6.67
* chi03 Sgr;19 25 29.6595764592 -23 57 44.833195044;6.86;5.43;nan
HD 185467;19 40 07.1647973304 -23 25 44.703513840;7.001;5.957;nan
* h01 Sgr;19 36 01.6534928016 -24 43 08.690321460;5.809;5.64;nan
* h02 Sgr;19 36 42.4328855 -24 53 01.028795;4.528;4.598;nan
HD 189561;20 01 23.8467090408 -22 44 14.312051448;6.982;5.999;nan
* 4 Cap;20 18 01.3969066824 -21 48 35.850152772;6.856;5.851;nan
* 17 Cap;20 46 09.9880086312 -21 30 50.529680172;5.958;5.902;nan
* 41 Lib;15 38 54.5573793504 -19 18 06.807586464;6.229;5.359;nan
* kap Lib;15 41 56.7924203448 -19 40 43.654786104;6.3;4.72;3.44
HD 139329;15 38 16.2864597288 -21 00 58.746387600;6.891;5.816;nan
* lam Lib;15 53 20.0538968232 -20 10 01.471003716;4.997;5.027;nan
* ome02 Sco;16 07 24.3281783 -20 52 07.551833;5.17;4.33;3.68
* ome Sco;16 06 48.4269211 -20 40 09.090235;3.92;3.97;3.91
* ome Oph;16 32 08.1998273 -21 27 59.012005;4.56;4.45;4.32
* omi Oph A;17 18 00.6802990176 -24 17 12.847968168;6.16;5.11;nan
* tet Oph;17 22 00.5793468 -24 59 58.366974;3.03;3.26;3.38
* b Oph;17 26 22.2174889 -24 10 31.118980;4.437;4.153;nan
* c Oph;17 31 24.9541340 -23 57 45.513592;4.81;4.81;4.74
* 4 Sgr;17 59 47.5564555824 -23 48 58.012965864;4.698;4.724;nan
* 7 Sgr;18 02 51.0986253456 -24 16 56.882232732;5.86;5.34;nan
HD 164402;18 01 54.3809958600 -22 46 49.059228432;5.77;5.77;5.74
* 9 Sgr;18 03 52.4450051016 -24 21 38.632254012;5.97;5.97;5.72
* 1 Sgr;18 11 43.3327588368 -23 42 04.433754384;6.03;4.98;nan
* 24 Sgr;18 33 53.4863166984 -24 01 56.215182540;7.263;5.461;nan
HD 171961;18 38 30.7143272304 -23 30 17.622731304;5.753;5.772;nan
* 28 Sgr;18 46 20.6109922296 -22 23 31.823445372;6.961;5.366;nan
* nu.01 Sgr;18 54 10.1780830272 -22 44 41.422617132;6.251;4.845;nan
* nu.02 Sgr;18 55 07.1374621536 -22 40 16.621635288;6.3;4.98;4.04
HD 175360;18 56 00.6739119744 -23 10 25.511681100;5.91;5.93;nan
* omi Sgr;19 04 40.9820400284 -21 44 29.385451232;4.77;3.77;3.05
HD 181240;19 20 38.1481323072 -22 24 09.166534380;5.851;5.579;nan
* 50 Sgr;19 26 19.1572224672 -21 46 36.092741808;6.806;5.569;nan
* sig Cap;20 19 23.6042841528 -19 07 06.691381572;6.665;5.265;nan
* omi Cap A;20 29 53.9094947640 -18 34 59.460677724;5.969;5.897;nan
* ups Cap;20 40 02.9443337424 -18 08 19.166684604;6.76;5.1;nan
* 19 Cap;20 54 47.8164583128 -17 55 22.420497144;6.889;5.782;nan
* nu. Lib;15 06 37.5965113128 -16 15 24.546990276;6.78;5.2;nan
* zet01 Lib;15 28 15.4081976976 -16 42 59.347513656;7.161;5.626;nan
* zet03 Lib;15 30 40.4013252600 -16 36 34.064716068;6.858;5.806;nan
* zet04 Lib;15 32 55.2212555688 -16 51 10.241221140;5.355;5.499;nan
* 47 Lib;15 55 00.3615238176 -19 22 58.554643620;5.93;5.957;nan
* bet Sco;16 05 26.23 -19 48 19.4;2.43;2.5;nan
* bet02 Sco;16 05 26.5686169680 -19 48 06.845424840;4.87;4.89;5.58
* bet01 Sco;16 05 26.2319826 -19 48 19.630018;2.55;2.62;2.6
* nu. Sco;16 11 59.73568 -19 27 38.5361;4.05;4;3.9
* nu. Sco A;16 11 59.7338468136 -19 27 38.486177604;4.359;4.349;nan
* psi Oph;16 24 06.1846427 -20 02 14.378421;5.53;4.5;3.72
* chi Oph;16 27 01.4355697915 -18 27 22.499961252;4.71;4.43;3.97
HD 150453;16 41 53.7028702608 -19 55 27.699461724;5.971;5.559;nan
HD 152311;16 53 25.2127433568 -20 24 56.882126232;6.551;5.857;nan
* ksi Oph;17 21 00.3745211364 -21 06 46.571010951;4.752;4.387;nan
HD 157527;17 24 42.0283098840 -21 26 29.338040616;6.773;5.83;nan
* 58 Oph;17 43 25.7935382141 -21 40 59.498912759;5.313;4.861;nan
* mu. Sgr;18 13 45.8088401 -21 03 31.794073;4.07;3.85;3.58
* 15 Sgr;18 15 12.9063291264 -20 43 41.767600368;5.42;5.37;5.27
* 14 Sgr;18 14 15.8999662296 -21 42 47.385506880;6.984;5.473;nan
* 21 Sgr;18 25 21.0394302144 -20 32 30.022206936;6.32;4.86;nan
HD 171856;18 37 54.4271805912 -21 23 51.822981708;6.113;5.931;nan
HD 172051;18 38 53.4010594968 -21 03 06.750986472;6.518;5.86;nan
* 29 Sgr;18 49 40.1079977424 -20 19 28.756704684;6.615;5.21;nan
* 33 Sgr;18 54 00.0880492848 -21 21 35.452437192;6.898;5.678;nan
* ksi01 Sgr;18 57 20.4768926304 -20 39 22.852334844;5.14;5.054;nan
* ksi02 Sgr;18 57 43.7990826 -21 06 23.961268;4.69;3.51;2.71
HD 178175;19 08 16.7018664360 -19 17 25.037957508;5.43;5.49;5.5
* pi. Sgr;19 09 45.8329260 -21 01 25.010335;3.22;2.88;2.54
* d Sgr;19 17 38.0791354800 -18 57 10.462484520;5.895;4.878;nan
HD 184835;19 37 03.3413963640 -18 13 51.797161092;6.887;5.642;nan
* 57 Sgr;19 52 12.0041161200 -19 02 42.008300484;6.862;5.896;nan
* f Sgr;19 46 21.7395133902 -19 45 40.012615240;5.93;4.873;nan
* pi. Cap;20 27 19.2018649104 -18 12 42.098429628;5.06;5.14;nan
HD 196857;20 40 32.5185334488 -16 07 27.034846500;6.779;5.799;nan
V* DV Aqr;20 58 41.8398627000 -14 28 59.250192924;6.192;5.963;nan
HD 199443;20 57 40.6448451432 -16 01 53.540343840;6.047;5.869;nan
* gam Lib;15 35 31.5788082 -14 47 22.327851;4.93;3.91;3.2
* eta Lib;15 44 04.3994694816 -15 40 22.203300072;5.629;5.412;nan
* tet Lib;15 53 49.5380636 -16 43 45.458225;5.17;4.16;3.44
* 49 Lib;16 00 19.6356157674 -16 32 00.283475392;5.99;5.47;nan
* phi Oph;16 31 08.3673228 -16 36 45.830632;5.19;4.27;3.62
* 24 Sco;16 41 34.3835094696 -17 44 31.799582196;5.994;4.923;nan
HD 154779;17 08 14.8547318784 -17 36 32.582778840;6.993;5.977;nan
HD 165687;18 07 48.3402803712 -17 09 14.970162060;6.641;5.508;nan
HD 167720;18 17 11.6270413656 -17 22 26.011291224;7.33;5.75;nan
V* Y Sgr;18 21 22.9862401944 -18 51 36.006450458;6.69;5.75;nan
HD 170433;18 30 11.8644628200 -18 43 43.665443940;6.683;5.624;nan
HD 170680;18 31 26.2978449720 -18 24 09.713977668;5.126;5.117;nan
* rho01 Sgr;19 21 40.3594189 -17 50 49.916840;4.15;3.93;3.74
* ups Sgr;19 21 43.6225957281 -15 57 18.062726294;4.71;4.61;4.34
* rho02 Sgr;19 21 50.8954543728 -18 18 30.201301404;6.906;5.845;nan
* e01 Sgr;19 40 43.3830302448 -16 17 35.774383560;6.415;5.296;nan
HD 186185;19 43 33.5477235951 -15 28 12.076153462;5.95;5.49;nan
* e02 Sgr;19 42 31.1329901640 -16 07 26.392911168;5.362;5.045;nan
* g Sgr;19 57 57.0294583872 -15 29 29.285348568;5.058;4.998;nan
* bet01 Cap;20 21 00.6665981712 -14 46 53.067367488;3.87;3.08;2.53
* 14 Cap A;20 39 16.322728 -14 57 17.18302;5.24;5.38;nan
HD 136956;15 23 52.2389392920 -12 22 10.207882920;6.761;5.716;nan
* 48 Lib;15 58 11.3682502453 -14 16 45.681109093;4.77;4.87;4.91
* 11 Sco;16 07 36.4153307712 -12 44 43.464533568;5.77;5.77;nan
HD 146850;16 19 00.4164100704 -14 52 22.130310180;7.46;5.94;nan
HD 148604;16 29 46.9222648416 -14 33 02.872820448;6.481;5.665;nan
* eta Oph;17 10 22.68689 -15 43 29.6639;2.47;2.42;2.39
* eta Oph B;17 10 22.636800 -15 43 30.65592;3.36;3.26;nan
* eta Oph A;17 10 22.664064 -15 43 30.51408;2.564;2.463;nan
HD 159877;17 37 36.2030982120 -15 34 15.718995192;6.31;5.94;nan
* ksi Ser;17 37 35.1998314 -15 23 54.793942;3.788;3.519;nan
HD 161701;17 47 36.7796349672 -14 43 32.974809564;5.93;5.923;nan
HD 163336;17 56 19.0354512072 -15 48 45.101447424;5.967;5.929;nan
HD 168415;18 20 08.7913171896 -15 49 54.108673464;6.867;5.371;nan
* gam Sct;18 29 11.8538827 -14 33 56.931865;4.739;4.675;nan
V* V450 Sct;18 32 43.3227962 -14 51 56.383154;7.52;5.51;nan
HD 171130;18 33 39.0209168303 -14 51 13.011821357;5.768;5.735;nan
HD 175317;18 55 31.0053872592 -16 22 35.888206980;5.985;5.546;nan
HD 175156;18 54 43.1142638 -15 36 10.935636;5.208;5.086;nan
HD 177517;19 05 41.1802109904 -15 39 37.510548984;5.95;5.97;nan
HD 182477;19 25 21.5949087120 -13 53 49.623299736;7.092;5.71;nan
HD 182645;19 26 11.0426202288 -15 03 11.705243220;5.703;5.706;nan
HD 184985;19 37 34.4135659464 -14 18 06.478148448;5.938;5.451;nan
* ksi Cap;20 12 25.8705704904 -12 37 02.991099360;6.33;5.85;nan
* alf01 Cap;20 17 38.8691281056 -12 30 29.563869708;5.34;4.27;3.49
* alf02 Cap;20 18 03.2559477 -12 32 41.468352;4.51;3.58;2.91
* nu. Cap;20 20 39.8156206 -12 45 32.684421;4.72;4.76;4.75
HD 198431;20 50 41.7767373192 -12 32 41.647912044;6.948;5.872;nan
* del Lib;15 00 58.3483018872 -08 31 08.210408772;4.93;4.93;4.85
* bet Lib;15 17 00.41382 -09 22 58.4919;2.51;2.62;2.67
* eps Lib;15 24 11.8837924176 -10 19 20.203874400;5.358;4.92;nan
HD 138764;15 34 26.5142062512 -09 11 00.380211288;5.08;5.17;5.21
* 37 Lib;15 34 10.7024841438 -10 03 52.317750492;5.63;4.62;3.85
* ksi Sco A;16 04 22.1553895728 -11 22 23.546657748;5.64;5.16;nan
* ksi Sco B;16 04 22.1287658832 -11 22 22.672411248;5.35;4.87;nan
* psi Sco;16 11 59.9931241272 -10 03 50.910154632;5.029;4.928;nan
* chi Sco;16 13 50.9062585128 -11 50 15.892301544;6.615;5.239;nan
* zet Oph;16 37 09.5390545 -10 34 01.529471;2.58;2.56;2.46
* 20 Oph;16 49 50.0177515608 -10 46 59.034574488;5.105;4.632;nan
* nu. Ser;17 20 49.6614955 -12 50 48.753267;4.361;4.324;nan
HD 159358;17 34 46.3515143064 -11 14 31.194437280;5.54;5.535;nan
* omi Ser;17 41 24.8728627 -12 52 31.108612;4.31;4.228;nan
HD 169033;18 23 12.1621623552 -12 00 53.117057556;5.697;5.699;nan
HD 176162;18 59 23.8020224 -12 50 25.863906;5.466;5.509;nan
HD 179497;19 13 15.5228827 -12 16 57.300201;6.95;5.51;nan
* 37 Aql;19 35 07.2578540184 -10 33 37.593599760;6.213;5.12;nan
* 51 Aql;19 50 46.7838182160 -10 45 48.633459876;5.77;5.39;nan
HD 189340;19 59 47.2802830338 -09 57 29.634435094;6.46;5.88;nan
HD 195564;20 32 23.6946897472 -09 51 12.184220381;6.34;5.65;nan
* eps Aqr;20 47 40.5526029 -09 29 44.787712;3.77;3.77;3.7
* mu. Aqr;20 52 39.2327670 -08 58 59.949931;5.04;4.72;nan
* 7 Aqr;20 56 54.0265592448 -09 41 51.150476328;6.97;5.48;nan
* 50 Lib;16 00 47.6323225512 -08 24 40.889775888;5.557;5.526;nan
* 16 Sco;16 12 07.3159602096 -08 32 51.286538400;5.545;5.424;nan
* 18 Sco;16 15 37.2702755653 -08 22 09.982125430;6.15;5.5;nan
* ups Oph;16 27 48.1871985 -08 22 18.224465;4.8;4.63;nan
HD 155078;17 09 47.9501038968 -10 31 23.878977276;5.885;5.43;nan
HD 160018;17 38 09.5046890088 -10 55 34.565735496;6.95;5.727;nan
* nu. Oph;17 59 01.5919129 -09 46 25.079852;4.33;3.34;2.64
* zet Sct;18 23 39.5786582280 -08 56 04.151632668;5.619;4.664;nan
HD 170740;18 31 25.6939245072 -10 47 45.008376432;5.96;5.72;nan
HD 171391;18 35 02.3926287840 -10 58 37.942910580;6.027;5.119;nan
* del Sct;18 42 16.4268984096 -09 03 09.188922060;5.04;4.71;nan
HD 173638;18 46 43.3242113592 -10 07 30.161333784;6.285;5.717;nan
HD 174464;18 50 58.5124524696 -09 46 26.747645700;6.41;5.836;nan
* 56 Aql;19 54 08.2765689696 -08 34 27.159151188;7.43;5.79;nan
* 57 Aql A;19 54 37.6524632016 -08 13 38.241542244;5.63;5.71;nan
HD 136479;15 21 07.6092898320 -05 49 29.468701344;6.589;5.537;nan
V* V2105 Oph;16 27 43.4570011776 -07 35 52.544851332;6.95;5.23;nan
* 23 Oph;16 54 35.6940620640 -06 09 14.331443508;6.329;5.23;nan
HD 159170;17 33 29.8450488456 -05 44 41.291576376;5.79;5.607;nan
* mu. Oph;17 37 50.7130843 -08 07 07.574857;4.73;4.62;4.44
* tau Oph B;18 03 04.8015992685 -08 10 48.913324413;6.27;5.86;nan
* tau Oph A;18 03 04.9185025992 -08 10 49.268567928;5.7;5.27;nan
* tau Oph;18 03 04.91992 -08 10 49.2586;5.17;4.79;nan
HD 165402;18 06 07.3986998 -08 19 26.239192;6.027;5.859;nan
* alf Sct;18 35 12.4271571798 -08 14 38.653839451;5.17;3.83;2.86
HD 172348;18 40 00.3880663536 -07 47 26.866840164;7.363;5.808;nan
* eps Sct;18 43 31.2509020224 -08 16 30.765630720;5.998;4.889;nan
V* R Sct;18 47 28.9498974024 -05 42 18.542611800;6.67;5.2;4.14
NGC 6705;18 51 03.8 -06 16 19;6.32;5.8;nan
* eta Sct;18 57 03.6701923416 -05 50 46.734335232;5.904;4.818;nan
* i Aql;19 01 40.8270735 -05 44 20.813427;5.11;4.02;3.23
* 20 Aql;19 12 40.7117853648 -07 56 22.263784872;5.47;5.34;nan
* f Aql;19 20 32.9062014840 -05 24 56.764910088;5.927;4.99;nan
* kap Aql;19 36 53.4495162 -07 01 38.917563;4.93;4.96;4.9
* k Aqr;20 47 44.2389847 -05 01 39.721978;6.11;4.44;2.97
* 5 Aqr;20 52 08.6938321800 -05 30 25.409470932;5.46;5.554;nan
HD 132833;15 01 19.8262207488 -02 45 17.722100232;7.2;5.52;nan
* mu. Ser;15 49 37.20696 -03 25 48.7358;3.49;3.53;3.54
* b Ser;15 51 15.5941805 -03 05 25.793806;5.23;5.1;nan
* 30 Ser;15 48 56.7969566256 -03 49 06.637937808;5.646;5.524;nan
HD 145206;16 09 50.5038223560 -03 28 00.278812956;6.817;5.378;nan
* del Oph;16 14 20.73853 -03 41 39.5612;4.34;2.75;1.46
* eps Oph;16 18 19.2897431 -04 41 33.034466;4.21;3.23;2.54
* 30 Oph;17 01 03.6017776608 -04 13 21.517847868;6.302;4.812;nan
M 10;16 57 09.05 -04 06 01.1;nan;4.98;nan
* 47 Oph;17 26 37.8809423 -05 05 11.749992;4.93;4.54;4.16
M 14;17 37 36.15 -03 14 45.3;9.55;5.73;nan
HD 163532;17 56 47.7441029568 -04 04 54.557790672;6.603;5.439;nan
HD 164064;17 59 36.7622850912 -04 49 16.054844088;7.381;5.832;nan
* zet Ser;18 00 29.0100539320 -03 41 24.977568563;4.982;4.616;nan
HD 165438;18 06 15.1971057528 -04 45 04.508774964;6.726;5.741;nan
* eta Ser;18 21 18.6005560 -02 53 55.776595;4.19;3.25;2.55
* bet Sct;18 47 10.4742156840 -04 44 52.342960488;5.31;4.22;3.43
* g Aql;19 02 54.5010526943 -03 41 56.288077922;5.39;5.4;nan
* h Aql;19 04 57.6725479488 -04 01 53.121157248;6.529;5.394;nan
* lam Aql;19 06 14.9386542192 -04 52 57.225885348;3.34;3.43;3.46
* e Aql;19 30 39.8360572 -02 47 19.994380;6.78;5.03;nan
* 42 Aql;19 37 47.3178819696 -04 38 51.505017792;6.07;5.68;nan
V* V1291 Aql;19 53 18.7357174440 -03 06 52.063556976;5.837;5.619;nan
* 69 Aql;20 29 39.0000391008 -02 53 07.901363940;6.065;4.9;nan
* 70 Aql;20 36 43.6331948352 -02 32 59.836714368;6.475;4.88;nan
* 2 Ser;15 01 48.9210127896 -00 08 25.072739448;7.23;5.71;nan
HD 136028;15 18 26.1268629072 -00 27 40.443035364;7.4;5.89;nan
* 11 Ser;15 32 57.9375505344 -01 11 11.045674896;6.596;5.496;nan
* 25 Ser;15 46 05.6365266672 -01 48 15.085342728;5.37;5.39;nan
BD+02 4211;16 36 19.93 -02 19 13.1;6.574;5.755;nan
* 12 Oph;16 36 21.4496896968 -02 19 28.513024233;6.55;5.77;5.13
HD 154445;17 05 32.2587926880 -00 53 31.437713328;5.73;5.61;5.39
HD 158614A;17 30 23.7998973347 -01 03 46.877873844;6.69;5.981;nan
* 61 Ser;18 31 56.9935123032 -01 00 10.710759996;6.08;5.936;nan
* c Ser;18 29 40.9794751368 -01 59 07.108069632;6.33;5.369;nan
* e Ser;18 37 35.9626209120 -00 18 34.110143856;5.816;5.768;nan
* 5 Aql A;18 46 28.5938261544 -00 57 42.092897652;6.03;5.9;nan
* d Aql;19 20 35.6863700904 -00 53 31.774520544;5.408;5.451;nan
HD 181907;19 22 21.5480809056 -00 15 08.508393504;6.906;5.811;nan
* 45 Aql;19 40 43.3170282984 -00 37 16.402375848;5.729;5.637;nan
* iot Aql;19 36 43.2777028800 -01 17 11.758614396;4.28;4.36;4.34
* 62 Aql;20 04 23.1507841680 -00 42 33.510584628;6.98;5.68;nan
* 64 Aql;20 08 01.8223368384 -00 40 41.464645428;7.003;5.968;nan
* tet Aql;20 11 18.2852804 -00 49 17.262642;3.15;3.22;3.29
* 66 Aql;20 13 13.8848464200 -01 00 33.708193992;6.9;5.47;nan
* l Aql;20 38 20.2844885280 -01 06 18.422101548;5.29;4.33;3.66
* 6 Ser;15 21 01.9962716352 +00 42 55.210319100;6.611;5.393;nan
* 4 Ser;15 15 49.0775968992 +00 22 19.695424008;5.8;5.623;nan
M 5;15 18 33.22 +02 04 51.7;nan;5.95;nan
* 10 Ser;15 28 38.2370204448 +01 50 31.486733628;5.4;5.17;nan
* ome Ser;15 50 17.5468226304 +02 11 47.432004216;6.236;5.217;nan
HD 148513;16 28 33.9807973104 +00 39 54.001143144;6.85;5.39;nan
* lam Oph;16 30 54.82314 +01 59 02.1209;3.94;3.9;nan
* lam Oph A;16 30 54.8188253125 +01 59 02.058484706;4.18;4.15;nan
* lam Oph B;16 30 54.862 +01 59 03.28;5.21;5.14;nan
* 14 Oph;16 41 42.4819345392 +01 10 52.431236076;6.045;5.724;nan
* 21 Oph;16 51 24.9285171 +01 12 57.410669;5.56;5.51;nan
V* U Oph;17 16 31.7137908168 +01 12 37.998551304;5.941;5.921;nan
HD 158837;17 31 21.3359225688 +02 43 28.252026624;6.416;5.58;nan
HD 158352;17 28 49.6547862288 +00 19 50.249640432;5.644;5.412;nan
* gam Oph;17 47 53.5597327 +02 42 26.199985;3.8;3.75;3.71
HD 162774;17 52 35.4392568576 +01 18 18.039891744;7.479;5.917;nan
V* V2052 Oph;17 56 18.4001168880 +00 40 13.273317228;5.874;5.82;nan
* 68 Oph;18 01 45.1988377 +01 18 18.277526;4.453;4.429;nan
* 70 Oph;18 05 27.28518 +02 30 00.3558;4.89;4.03;3.38
* 4 Aql;18 44 49.9381980 +02 03 36.136039;4.948;5.005;nan
* 64 Ser;18 57 16.5900397800 +02 32 07.245780324;5.545;5.551;nan
HD 177178;19 03 32.2462397760 +01 49 07.443780204;5.991;5.815;nan
* 23 Aql;19 18 32.4955767096 +01 05 06.461550420;6.67;5.28;nan
* 21 Aql;19 13 42.7011956712 +02 17 37.310297604;5.08;5.15;nan
* c Aql;19 29 00.9869402808 +01 57 01.616825124;5.865;5.783;nan
* nu. Aql;19 26 31.0892580000 +00 20 18.854897820;5.31;4.72;4.21
* eta Aql;19 52 28.3689223781 +01 00 20.371980515;4.61;3.8;nan
* 58 Aql;19 54 44.7948526968 +00 16 25.050363384;5.703;5.631;nan
* 1 Aqr;20 39 24.8927058552 +00 29 11.155000416;6.204;5.153;nan
* 110 Vir;15 02 54.0375635908 +02 05 28.695699730;5.44;4.4;3.59
* eps Ser;15 50 48.9662218 +04 28 39.831153;3.844;3.693;nan
* 3 Her;16 00 51.1340108040 +04 25 38.488425456;6.819;5.804;nan
HD 145085;16 08 58.8793121880 +03 27 16.108892424;7.406;5.909;nan
* 9 Her;16 13 15.4290154440 +05 01 15.928474548;6.927;5.453;nan
* 37 Her;16 40 38.6871912144 +04 13 11.243186652;5.749;5.761;nan
* l Her;16 47 46.4200216512 +05 14 48.291336960;5.22;5.24;nan
* sig Oph;17 26 30.8807335272 +04 08 25.293765444;5.82;4.31;3.22
* bet Oph;17 43 28.3526482 +04 34 02.295484;3.93;2.75;1.96
Cl Melotte 186;18 02 23.5 +03 15 36;nan;3;nan
* 66 Oph;18 00 15.7982457 +04 22 07.016285;4.58;4.6;4.47
* 67 Oph;18 00 38.7157893000 +02 55 53.633402904;3.96;3.93;3.84
HD 166460;18 10 40.2991027656 +03 19 27.328290276;6.693;5.489;nan
* 74 Oph;18 20 52.0636719528 +03 22 37.790695740;5.764;4.856;nan
HD 173495;18 45 28.36421 +05 30 00.4441;5.87;5.83;nan
* tet02 Ser;18 56 14.6410220472 +04 12 07.659433620;5.18;4.98;nan
* tet01 Ser;18 56 13.1871962688 +04 12 12.982091004;4.74;4.57;nan
* 22 Aql;19 16 31.0314249432 +04 50 05.256444156;5.646;5.569;nan
* del Aql;19 25 29.90139 +03 06 53.2061;3.68;3.36;3.11
HD 183227;19 28 20.7982649208 +02 55 48.118590048;5.827;5.839;nan
* 3 Ser;15 15 11.3569114488 +04 56 21.679552428;6.413;5.337;nan
* alf Ser;15 44 16.0743159 +06 25 32.263272;3.8;2.63;1.82
HD 140775;15 45 23.4787023144 +05 26 50.350020468;5.62;5.58;5.54
* o Her;16 24 10.8287527392 +06 56 53.557789740;5.828;5.819;nan
* n Her;16 32 35.6854246680 +05 31 16.391769564;5.57;5.63;nan
* k Her;16 50 19.3808071944 +07 14 51.660783060;5.579;5.469;nan
HD 160781;17 41 32.3234571528 +06 18 47.368528920;7.231;5.952;nan
HD 162917;17 53 14.1856368720 +06 06 05.122217808;6.194;5.759;nan
HD 168387;18 19 09.5370666840 +07 15 35.162064252;6.492;5.412;nan
HD 169689;18 25 38.7990783216 +08 01 55.225743564;6.545;5.665;nan
HD 170200;18 27 58.7736242040 +06 11 38.772487824;5.665;5.699;nan
HD 171834;18 36 39.0746705736 +06 40 18.498612108;5.786;5.425;nan
* 62 Ser;18 55 27.4611718968 +06 36 55.083689100;6.604;5.566;nan
* 19 Aql;19 08 59.9147881896 +06 04 23.584037700;5.57;5.23;nan
* mu. Aql;19 34 05.3529921054 +07 22 44.184329526;5.63;4.45;3.55
* sig Aql;19 39 11.6423977488 +05 23 51.979984260;5.2;5.17;nan
* bet Aql;19 55 18.7928429719 +06 24 24.351242346;4.56;3.71;3.05
HD 194013;20 23 10.6933936608 +05 20 34.733986584;6.279;5.301;nan
